"Novel face memory
score out of 72","Famous face memory
score out of 28","Face perception
score out of 60","Celebrity memory
self-rating","Celebrity forgetting
self-report","Pop media use
self-report"
63,16,36,3,3,1
49,10,31.33,3,2,1
32,5,21.33,3,1,1
49,11,35.33,3,4,2
51,13,32,3,4,2
34,19,32.67,3,4,2
43,1,34,3,3,2
60,11,32,3,3,2
45,14,32.67,5,1,2
64,22,36,4,5,3
49,14,42,4,3,3
63,3,42,5,2,3
56,22,43.33,5,2,3
70,26,40.67,5,2,3
48,10,16,4,1,3
57,17,41.33,5,1,3
61,7,24,3,3,4
32,2,30,4,3,4
60,18,36,4,2,4
54,22,38.67,5,1,4
52,9,28,2,3,1
53,15,38.67,3,2,1
51,18,26,4,1,1
48,16,28.67,3,2,2
39,2,21.33,2,3,3
42,7,38,1,2,3
59,22,40,3,1,3
44,9,25.33,4,4,4
62,19,36,3,2,4
64,20,40.67,4,2,4
69,10,46,5,1,5
67,20,39.33,4,3,1
44,16,38.67,3,3,2
51,1,25.33,2,1,2
39,8,34,3,3,3
60,12,35.33,3,3,3
51,8,21.33,4,1,3
67,23,37.33,4,3,4
69,18,39.33,5,1,5
61,9,40,3,3,2
54,12,36,3,1,2
67,19,40.67,3,1,2
34,4,28,3,3,3
68,21,40.67,4,2,3
47,17,36,4,2,4
54,18,32,5,2,4
42,24,23.33,4,2,5
45,11,28,2,2,1
34,0,33.33,3,3,2
52,18,35.33,4,4,4
53,24,36,5,1,2
56,16,31.33,4,3,3
61,19,32,5,4,4
56,8,34,3,4,1
53,11,35.33,3,5,2
59,19,36.67,3,3,2
41,3,34,3,2,2
65,26,42.67,4,2,2
60,17,36,3,2,3
72,17,35.33,3,1,3
68,25,42.67,4,3,4
42,3,25.33,4,2,1
61,8,40.67,4,2,1
34,10,26.67,3,5,3
49,18,33.33,4,4,3
39,6,26,3,3,4
33,4,32,4,1,1
35,3,27.33,2,5,2
39,4,31.33,3,3,2
49,20,36,4,3,3
39,4,34.67,2,4,4
60,26,37.33,5,3,5
45,11,36.67,3,4,2
27,13,25.33,2,4,3
40,13,37.33,4,3,3
49,20,38.67,4,3,3
65,13,34,4,3,3
71,25,35.33,5,1,3
43,8,28,3,3,2
36,5,24,2,5,1
36,5,30,3,4,1
47,11,34.67,3,4,1
54,14,33.33,3,4,1
